FeederId,FeederName,CSV_LineSection,ICA_Analysis_Date,LoadCapacity_kW,GenCapacity_kW,GenericPVCapacity_kW,GenCapacity_no_OpFlex_kW,GenericCapacity_no_OpFlex_kW
12330401,MIRA VISTA 0401,3445862,Oct-22,960,230,320,250,3840
12330403,MIRA VISTA 0403,3972791,Feb-22,0,90,120,90,120
12330403,MIRA VISTA 0403,4020206,Feb-22,0,80,110,80,110
12330403,MIRA VISTA 0403,3547534,Feb-22,0,90,110,90,110
12330403,MIRA VISTA 0403,3540826,Feb-22,0,90,120,90,120
12330403,MIRA VISTA 0403,3740772,Feb-22,0,90,120,90,120
12330403,MIRA VISTA 0403,4066475,Feb-22,0,90,120,90,120
12330403,MIRA VISTA 0403,4707112,Feb-22,0,90,120,90,120
12330403,MIRA VISTA 0403,3647046,Feb-22,0,90,120,90,120
12330403,MIRA VISTA 0403,3793710,Feb-22,0,90,120,90,120
12501101,EL CERRITO G 1101,3114690,Jun-22,950,1130,1540,1340,1660
12501101,EL CERRITO G 1101,4182955,Jun-22,830,1100,1350,1100,1350
12501101,EL CERRITO G 1101,3157294,Jun-22,830,1100,1350,1100,1350
12501101,EL CERRITO G 1101,3550027,Jun-22,390,530,650,530,650
12501101,EL CERRITO G 1101,4127041,Jun-22,950,1130,1540,1340,1660
12501101,EL CERRITO G 1101,3625423,Jun-22,830,1100,1350,1100,1350
12501101,EL CERRITO G 1101,3378530,Jun-22,3200,1130,1540,5820,8400
12501101,EL CERRITO G 1101,5016061,Jun-22,600,690,920,690,920
12501101,EL CERRITO G 1101,4071517,Jun-22,950,1130,1540,1340,1660
12501101,EL CERRITO G 1101,4231886,Jun-22,600,690,920,690,920
12501101,EL CERRITO G 1101,3413665,Jun-22,950,1130,1540,1340,1660
12501101,EL CERRITO G 1101,4111696,Jun-22,950,1130,1540,1340,1660
12501101,EL CERRITO G 1101,5224054,Jun-22,180,210,260,210,260
12501101,EL CERRITO G 1101,3258379,Jun-22,600,690,920,690,920
12501101,EL CERRITO G 1101,3712655,Jun-22,3200,1130,1540,5560,8410
12501101,EL CERRITO G 1101,4053731,Jun-22,3160,1130,1540,6020,8390
12501101,EL CERRITO G 1101,3669989,Jun-22,3210,1130,1540,5960,8400
12501101,EL CERRITO G 1101,3936900,Jun-22,950,1130,1540,1290,1600
12501101,EL CERRITO G 1101,4687124,Jun-22,2300,1130,1540,2900,3530
12501101,EL CERRITO G 1101,3758375,Jun-22,3870,1130,1540,7200,10000
12501101,EL CERRITO G 1101,4596066,Jun-22,3720,1130,1540,6730,9200
12501101,EL CERRITO G 1101,4920145,Jun-22,3200,1130,1540,5540,8410
12501101,EL CERRITO G 1101,3182195,Jun-22,600,1130,1540,1250,1590
12501101,EL CERRITO G 1101,5229590,Jun-22,600,690,920,690,920
12501101,EL CERRITO G 1101,5138989,Jun-22,600,1130,1540,1250,1590
12501101,EL CERRITO G 1101,4685967,Jun-22,510,580,710,580,710
12501101,EL CERRITO G 1101,3570464,Jun-22,150,280,370,280,370
12501101,EL CERRITO G 1101,3961107,Jun-22,950,1130,1540,1340,1660
12501101,EL CERRITO G 1101,4379414,Jun-22,950,1130,1540,1340,1660
