ZIPCODE,MONTH,YEAR,CUSTOMERCLASS,COMBINED,TOTALCUSTOMERS,TOTALKWH,AVERAGEKWH
93101,7,2022,Elec- Agricultural,Y,0,0,
93101,8,2022,Elec- Agricultural,Y,0,0,
93101,9,2022,Elec- Agricultural,Y,0,0,
93110,7,2022,Elec- Agricultural,Y,0,0,
93110,8,2022,Elec- Agricultural,Y,0,0,
93110,9,2022,Elec- Agricultural,Y,0,0,
93117,7,2022,Elec- Agricultural,Y,0,0,
93117,8,2022,Elec- Agricultural,Y,0,0,
93117,9,2022,Elec- Agricultural,Y,0,0,
93202,7,2022,Elec- Agricultural,Y,0,0,
93202,8,2022,Elec- Agricultural,Y,0,0,
93202,9,2022,Elec- Agricultural,Y,0,0,
93203,7,2022,Elec- Agricultural,Y,161,17117028,106317
93203,8,2022,Elec- Agricultural,Y,0,0,
93203,9,2022,Elec- Agricultural,Y,0,0,
93204,7,2022,Elec- Agricultural,Y,0,0,
93204,8,2022,Elec- Agricultural,Y,0,0,
93204,9,2022,Elec- Agricultural,Y,0,0,
93206,7,2022,Elec- Agricultural,N,120,20389742,169915
93206,8,2022,Elec- Agricultural,N,120,18855079,157126
93206,9,2022,Elec- Agricultural,Y,0,0,
93210,7,2022,Elec- Agricultural,Y,129,13772762,106766
93210,8,2022,Elec- Agricultural,Y,0,0,
93210,9,2022,Elec- Agricultural,N,108,7287012,67472
93212,7,2022,Elec- Agricultural,Y,0,0,
93212,8,2022,Elec- Agricultural,Y,0,0,
93212,9,2022,Elec- Agricultural,Y,288,27718158,96244
93215,7,2022,Elec- Agricultural,Y,0,0,
93215,8,2022,Elec- Agricultural,Y,0,0,
93215,9,2022,Elec- Agricultural,Y,0,0,
93219,7,2022,Elec- Agricultural,Y,0,0,
93219,8,2022,Elec- Agricultural,Y,0,0,
93219,9,2022,Elec- Agricultural,Y,0,0,
93224,7,2022,Elec- Agricultural,Y,0,0,
93224,8,2022,Elec- Agricultural,Y,0,0,
93224,9,2022,Elec- Agricultural,Y,0,0,
93225,7,2022,Elec- Agricultural,Y,0,0,
93225,8,2022,Elec- Agricultural,Y,0,0,
93225,9,2022,Elec- Agricultural,Y,0,0,
93230,7,2022,Elec- Agricultural,Y,723,71626677,99069
93230,8,2022,Elec- Agricultural,Y,724,67335604,93005
93230,9,2022,Elec- Agricultural,Y,384,14073771,36650
93234,7,2022,Elec- Agricultural,Y,0,0,
93234,8,2022,Elec- Agricultural,Y,0,0,
93234,9,2022,Elec- Agricultural,Y,263,11586325,44054
93239,7,2022,Elec- Agricultural,Y,0,0,
93239,8,2022,Elec- Agricultural,Y,0,0,
93239,9,2022,Elec- Agricultural,Y,0,0,
93241,7,2022,Elec- Agricultural,Y,0,0,
93241,8,2022,Elec- Agricultural,Y,0,0,
93241,9,2022,Elec- Agricultural,Y,0,0,
93242,7,2022,Elec- Agricultural,Y,0,0,
93242,8,2022,Elec- Agricultural,Y,0,0,
93242,9,2022,Elec- Agricultural,Y,0,0,
93243,7,2022,Elec- Agricultural,Y,0,0,
93243,8,2022,Elec- Agricultural,Y,0,0,
93243,9,2022,Elec- Agricultural,Y,0,0,
93245,7,2022,Elec- Agricultural,Y,832,52912066,63596
93245,8,2022,Elec- Agricultural,Y,583,26391330,45268
93245,9,2022,Elec- Agricultural,Y,519,12565980,24212
93249,7,2022,Elec- Agricultural,Y,0,0,
93249,8,2022,Elec- Agricultural,Y,0,0,
93249,9,2022,Elec- Agricultural,Y,0,0,
93250,7,2022,Elec- Agricultural,Y,160,14541749,90886
93250,8,2022,Elec- Agricultural,Y,160,12306347,76915
93250,9,2022,Elec- Agricultural,Y,345,17672641,51225
93251,7,2022,Elec- Agricultural,Y,0,0,
93251,8,2022,Elec- Agricultural,Y,0,0,
93251,9,2022,Elec- Agricultural,Y,0,0,
93252,7,2022,Elec- Agricultural,Y,0,0,
93252,8,2022,Elec- Agricultural,Y,0,0,
93252,9,2022,Elec- Agricultural,Y,0,0,
93254,7,2022,Elec- Agricultural,Y,0,0,
93254,8,2022,Elec- Agricultural,Y,0,0,
93254,9,2022,Elec- Agricultural,Y,0,0,
93256,7,2022,Elec- Agricultural,Y,0,0,
93256,8,2022,Elec- Agricultural,Y,0,0,
93256,9,2022,Elec- Agricultural,Y,0,0,
93262,7,2022,Elec- Agricultural,Y,0,0,
93262,8,2022,Elec- Agricultural,Y,0,0,
93262,9,2022,Elec- Agricultural,Y,0,0,
93263,7,2022,Elec- Agricultural,Y,0,0,
93263,8,2022,Elec- Agricultural,Y,0,0,
93263,9,2022,Elec- Agricultural,Y,0,0,
93266,7,2022,Elec- Agricultural,Y,0,0,
93266,8,2022,Elec- Agricultural,Y,0,0,
93266,9,2022,Elec- Agricultural,Y,0,0,
93268,7,2022,Elec- Agricultural,Y,0,0,
93268,8,2022,Elec- Agricultural,Y,0,0,
93268,9,2022,Elec- Agricultural,Y,0,0,
93272,7,2022,Elec- Agricultural,Y,0,0,
93272,8,2022,Elec- Agricultural,Y,0,0,
93272,9,2022,Elec- Agricultural,Y,0,0,
93274,7,2022,Elec- Agricultural,Y,0,0,
93274,8,2022,Elec- Agricultural,Y,0,0,
93274,9,2022,Elec- Agricultural,Y,0,0,
93276,7,2022,Elec- Agricultural,Y,0,0,
93276,8,2022,Elec- Agricultural,Y,0,0,
93276,9,2022,Elec- Agricultural,Y,0,0,
93277,7,2022,Elec- Agricultural,Y,0,0,
93277,8,2022,Elec- Agricultural,Y,0,0,
93277,9,2022,Elec- Agricultural,Y,0,0,
93280,7,2022,Elec- Agricultural,Y,538,101945864,189490
93280,8,2022,Elec- Agricultural,Y,542,91451967,168731
93280,9,2022,Elec- Agricultural,Y,660,93892902,142262
93286,7,2022,Elec- Agricultural,Y,181,1540117,8509
93286,8,2022,Elec- Agricultural,Y,181,1324639,7318
93286,9,2022,Elec- Agricultural,Y,179,1258302,7030
93291,7,2022,Elec- Agricultural,Y,0,0,
93291,8,2022,Elec- Agricultural,Y,0,0,
93291,9,2022,Elec- Agricultural,Y,0,0,
93292,7,2022,Elec- Agricultural,Y,0,0,
93292,8,2022,Elec- Agricultural,Y,0,0,
93292,9,2022,Elec- Agricultural,Y,0,0,
93301,7,2022,Elec- Agricultural,Y,0,0,
93301,8,2022,Elec- Agricultural,Y,0,0,
93301,9,2022,Elec- Agricultural,Y,0,0,
93304,7,2022,Elec- Agricultural,Y,109,6738801,61824
93304,8,2022,Elec- Agricultural,Y,109,6525218,59864
93304,9,2022,Elec- Agricultural,Y,0,0,
93305,7,2022,Elec- Agricultural,Y,0,0,
93305,8,2022,Elec- Agricultural,Y,0,0,
93305,9,2022,Elec- Agricultural,Y,0,0,
93306,7,2022,Elec- Agricultural,Y,0,0,
93306,8,2022,Elec- Agricultural,Y,0,0,
93306,9,2022,Elec- Agricultural,Y,0,0,
93307,7,2022,Elec- Agricultural,Y,381,33007898,86635
93307,8,2022,Elec- Agricultural,Y,536,47641583,88884
93307,9,2022,Elec- Agricultural,Y,841,51335418,61041
93308,7,2022,Elec- Agricultural,Y,190,11569108,60890
93308,8,2022,Elec- Agricultural,Y,190,10355806,54504
93308,9,2022,Elec- Agricultural,Y,0,0,
93309,7,2022,Elec- Agricultural,Y,0,0,
93309,8,2022,Elec- Agricultural,Y,0,0,
93309,9,2022,Elec- Agricultural,Y,0,0,
93311,7,2022,Elec- Agricultural,Y,191,31511283,164981
93311,8,2022,Elec- Agricultural,Y,190,28563986,150337
93311,9,2022,Elec- Agricultural,Y,189,23106625,122257
93312,7,2022,Elec- Agricultural,Y,0,0,
93312,8,2022,Elec- Agricultural,Y,0,0,
93312,9,2022,Elec- Agricultural,Y,0,0,
93313,7,2022,Elec- Agricultural,N,191,9071269,47494
93313,8,2022,Elec- Agricultural,Y,195,8418250,43171
93313,9,2022,Elec- Agricultural,Y,0,0,
93314,7,2022,Elec- Agricultural,Y,0,0,
93314,8,2022,Elec- Agricultural,Y,0,0,
93314,9,2022,Elec- Agricultural,Y,0,0,
93401,7,2022,Elec- Agricultural,Y,0,0,
93401,8,2022,Elec- Agricultural,Y,0,0,
93401,9,2022,Elec- Agricultural,Y,0,0,
93402,7,2022,Elec- Agricultural,Y,0,0,
93402,8,2022,Elec- Agricultural,Y,0,0,
93402,9,2022,Elec- Agricultural,Y,0,0,
93405,7,2022,Elec- Agricultural,Y,0,0,
93405,8,2022,Elec- Agricultural,Y,0,0,
93405,9,2022,Elec- Agricultural,Y,0,0,
93420,7,2022,Elec- Agricultural,Y,1240,62271042,50219
93420,8,2022,Elec- Agricultural,Y,1240,60424943,48730
93420,9,2022,Elec- Agricultural,Y,1244,47525142,38203
93422,7,2022,Elec- Agricultural,Y,0,0,
93422,8,2022,Elec- Agricultural,Y,0,0,
93422,9,2022,Elec- Agricultural,Y,0,0,
93426,7,2022,Elec- Agricultural,Y,0,0,
93426,8,2022,Elec- Agricultural,Y,0,0,
93426,9,2022,Elec- Agricultural,Y,0,0,
93427,7,2022,Elec- Agricultural,Y,0,0,
93427,8,2022,Elec- Agricultural,Y,0,0,
93427,9,2022,Elec- Agricultural,Y,0,0,
93428,7,2022,Elec- Agricultural,Y,0,0,
93428,8,2022,Elec- Agricultural,Y,0,0,
93428,9,2022,Elec- Agricultural,Y,0,0,
93430,7,2022,Elec- Agricultural,Y,117,193790,1656
93430,8,2022,Elec- Agricultural,Y,117,197913,1692
93430,9,2022,Elec- Agricultural,Y,117,185441,1585
93432,7,2022,Elec- Agricultural,Y,0,0,
93432,8,2022,Elec- Agricultural,Y,0,0,
93432,9,2022,Elec- Agricultural,Y,0,0,
93433,7,2022,Elec- Agricultural,Y,0,0,
93433,8,2022,Elec- Agricultural,Y,0,0,
93433,9,2022,Elec- Agricultural,Y,0,0,
93434,7,2022,Elec- Agricultural,Y,0,0,
93434,8,2022,Elec- Agricultural,Y,0,0,
93434,9,2022,Elec- Agricultural,Y,0,0,
93435,7,2022,Elec- Agricultural,Y,0,0,
93435,8,2022,Elec- Agricultural,Y,0,0,
93436,7,2022,Elec- Agricultural,Y,355,3035818,8552
93436,8,2022,Elec- Agricultural,Y,356,3007046,8447
93436,9,2022,Elec- Agricultural,Y,354,2386659,6742
93437,7,2022,Elec- Agricultural,Y,0,0,
93437,8,2022,Elec- Agricultural,Y,0,0,
93437,9,2022,Elec- Agricultural,Y,0,0,
93441,7,2022,Elec- Agricultural,Y,0,0,
93441,8,2022,Elec- Agricultural,Y,0,0,
93441,9,2022,Elec- Agricultural,Y,0,0,
93442,7,2022,Elec- Agricultural,Y,0,0,
93442,8,2022,Elec- Agricultural,Y,0,0,
93442,9,2022,Elec- Agricultural,Y,0,0,
93444,7,2022,Elec- Agricultural,Y,0,0,
93444,8,2022,Elec- Agricultural,Y,0,0,
93444,9,2022,Elec- Agricultural,Y,0,0,
93445,7,2022,Elec- Agricultural,Y,0,0,
93445,8,2022,Elec- Agricultural,Y,0,0,
93445,9,2022,Elec- Agricultural,Y,0,0,
93446,7,2022,Elec- Agricultural,Y,725,5963138,8225
93446,8,2022,Elec- Agricultural,Y,598,5564018,9304
93446,9,2022,Elec- Agricultural,Y,598,4297828,7187
93449,7,2022,Elec- Agricultural,Y,0,0,
93449,8,2022,Elec- Agricultural,Y,0,0,
93449,9,2022,Elec- Agricultural,Y,0,0,
93450,7,2022,Elec- Agricultural,Y,0,0,
93450,8,2022,Elec- Agricultural,Y,0,0,
93450,9,2022,Elec- Agricultural,Y,0,0,
93451,7,2022,Elec- Agricultural,Y,0,0,
93451,8,2022,Elec- Agricultural,Y,252,14141572,56117
93451,9,2022,Elec- Agricultural,Y,0,0,
93452,7,2022,Elec- Agricultural,Y,0,0,
93452,8,2022,Elec- Agricultural,Y,0,0,
93452,9,2022,Elec- Agricultural,Y,0,0,
93453,7,2022,Elec- Agricultural,Y,0,0,
93453,8,2022,Elec- Agricultural,Y,0,0,
93453,9,2022,Elec- Agricultural,Y,0,0,
93454,7,2022,Elec- Agricultural,Y,0,0,
93454,8,2022,Elec- Agricultural,Y,0,0,
93454,9,2022,Elec- Agricultural,Y,0,0,
93455,7,2022,Elec- Agricultural,Y,0,0,
93455,8,2022,Elec- Agricultural,Y,0,0,
93455,9,2022,Elec- Agricultural,Y,0,0,
93458,7,2022,Elec- Agricultural,Y,0,0,
93458,8,2022,Elec- Agricultural,Y,0,0,
93458,9,2022,Elec- Agricultural,Y,0,0,
93460,7,2022,Elec- Agricultural,Y,186,1244122,6689
93460,8,2022,Elec- Agricultural,Y,186,1273622,6847
93460,9,2022,Elec- Agricultural,Y,186,994463,5347
93461,7,2022,Elec- Agricultural,Y,0,0,
93461,8,2022,Elec- Agricultural,Y,0,0,
93461,9,2022,Elec- Agricultural,Y,0,0,
93463,7,2022,Elec- Agricultural,Y,0,0,
93463,8,2022,Elec- Agricultural,Y,0,0,
93463,9,2022,Elec- Agricultural,Y,0,0,
93465,7,2022,Elec- Agricultural,N,134,332334,2480
93465,8,2022,Elec- Agricultural,N,134,355217,2651
93465,9,2022,Elec- Agricultural,N,134,280685,2095
93601,7,2022,Elec- Agricultural,Y,0,0,
93601,8,2022,Elec- Agricultural,Y,0,0,
93601,9,2022,Elec- Agricultural,Y,0,0,
93602,7,2022,Elec- Agricultural,Y,0,0,
93602,8,2022,Elec- Agricultural,Y,0,0,
93602,9,2022,Elec- Agricultural,Y,0,0,
93603,7,2022,Elec- Agricultural,Y,0,0,
93603,8,2022,Elec- Agricultural,Y,0,0,
93603,9,2022,Elec- Agricultural,Y,0,0,
93608,7,2022,Elec- Agricultural,Y,0,0,
93608,8,2022,Elec- Agricultural,Y,0,0,
93608,9,2022,Elec- Agricultural,Y,0,0,
93609,7,2022,Elec- Agricultural,N,228,10618762,46574
93609,8,2022,Elec- Agricultural,Y,481,24519611,50976
93609,9,2022,Elec- Agricultural,Y,478,15861480,33183
93610,7,2022,Elec- Agricultural,N,459,39815861,86745
93610,8,2022,Elec- Agricultural,N,462,36469814,78939
93610,9,2022,Elec- Agricultural,N,465,24985760,53733
93611,7,2022,Elec- Agricultural,Y,146,620474,4250
93611,8,2022,Elec- Agricultural,Y,0,0,
93611,9,2022,Elec- Agricultural,Y,0,0,
93612,7,2022,Elec- Agricultural,Y,0,0,
93612,8,2022,Elec- Agricultural,Y,0,0,
93612,9,2022,Elec- Agricultural,Y,0,0,
93614,7,2022,Elec- Agricultural,Y,0,0,
93614,8,2022,Elec- Agricultural,Y,0,0,
93614,9,2022,Elec- Agricultural,Y,0,0,
93615,7,2022,Elec- Agricultural,Y,0,0,
93615,8,2022,Elec- Agricultural,Y,0,0,
93615,9,2022,Elec- Agricultural,Y,0,0,
93616,7,2022,Elec- Agricultural,Y,0,0,
93616,8,2022,Elec- Agricultural,Y,0,0,
93616,9,2022,Elec- Agricultural,Y,0,0,
93618,7,2022,Elec- Agricultural,Y,557,10841096,19463
93618,8,2022,Elec- Agricultural,Y,559,12267151,21945
93618,9,2022,Elec- Agricultural,Y,557,9331435,16753
93619,7,2022,Elec- Agricultural,Y,177,440269,2487
93619,8,2022,Elec- Agricultural,Y,0,0,
93619,9,2022,Elec- Agricultural,Y,0,0,
93620,7,2022,Elec- Agricultural,Y,428,25285718,59079
93620,8,2022,Elec- Agricultural,Y,429,20080407,46807
93620,9,2022,Elec- Agricultural,Y,0,0,
93621,7,2022,Elec- Agricultural,Y,0,0,
93621,8,2022,Elec- Agricultural,Y,0,0,
93621,9,2022,Elec- Agricultural,Y,0,0,
93622,7,2022,Elec- Agricultural,N,253,20125016,79546
93622,8,2022,Elec- Agricultural,N,253,15717720,62125
93622,9,2022,Elec- Agricultural,Y,476,14389133,30229
93624,7,2022,Elec- Agricultural,N,110,12347105,112246
93624,8,2022,Elec- Agricultural,N,111,10262221,92452
93624,9,2022,Elec- Agricultural,N,111,7442154,67046
