,DISTRICT,ROUTE,COUNTY,PM - Post Mile,DESCRIPTION,BACK PEAK HOUR (not representative),BACK PEAK MADT - Month Average Daily Traffic,BACK AADT - Annual Average Daily Traffic,AHEAD PEAK HOUR (not representative),AHEAD PEAK MADT - Month Average Daily Traffic,AHEAD AADT Annual Average Daily Traffic,AVERAGE BACK AND AHEAD PEAK - Month Average Daily Traffic,AVERAGE BACK AND AHEAD PEAK - Annual Average Daily Traffic,Latitude,Longitude
Berkeley,4,13,ALA,12.24,"BERKELEY, ADELINE ST",2600,26000,24800,2600,27000,25500,26500,25150,37.854676,-122.269109
,4,13,ALA,10.79,"BERKELEY, CLAREMONT AVE",3100,31000,29500,2400,22100,21200,26550,25350,37.858077,-122.245312
,4,13,ALA,10.69,"BERKELEY, DOMINGO AVE",2500,25000,24300,3100,31000,29500,28000,26900,37.858102,-122.243854
,4,123,ALA,3.98,"BERKELEY, GILMAN ST",1700,20200,19800,1600,19900,19500,20050,19650,37.880486,-122.295813
,4,80,ALA,6.62,"BERKELEY, GILMAN ST ",14500,223000,217000,14800,231000,224000,227000,220500,37.877783,-122.30711
,4,123,ALA,1.906,"BERKELEY, JCT. RTE. 13",1700,20000,19600,1800,21200,20600,20600,20100,37.852171,-122.286667
,4,80,ALA,4.582,"BERKELEY, JCT. RTE. 13 EAST",14500,223000,217000,14500,224000,218000,223500,217500,37.848991,-122.298871
,4,13,ALA,13.906,"BERKELEY, JCT. RTE. 80",2200,20500,19600,,,,20500,19600,37.84729,-122.298059
,4,13,ALA,13.931,"BERKELEY, JCT. RTE. 80",2400,23400,22700,,,,23400,22700,37.847165,-122.298503
,4,13,ALA,11.61,"BERKELEY, TELEGRAPH AVE",2400,22100,21200,2600,26000,24800,24050,23000,37.856156,-122.259699
,4,123,ALA,3.15,"BERKELEY, UNIV AVE",1400,17200,16900,1500,18500,18200,17850,17550,37.869129,-122.292112
,4,80,ALA,5.823,"BERKELEY, UNIV AVE ",14500,224000,218000,14500,223000,217000,223500,217500,37.866615,-122.303674
Oakland,4,580,ALA,35.713,"OAKLAND, 106TH AVE ",10600,146000,138000,11400,157000,148000,151500,143000,37.744875,-122.148718
,4,880,ALA,30.38,"OAKLAND, 10TH/5TH AVE CONNECTIONS",13000,198000,194000,13000,198000,194000,198000,194000,37.789742,-122.256511
,4,980,ALA,0.904,"OAKLAND, 18TH ST",6800,95000,92000,7500,107000,103000,101000,97500,37.809481,-122.276057
,4,880,ALA,28.934,"OAKLAND, 23RD AVE ",13400,203000,199000,13000,197000,194000,200000,196500,37.777428,-122.23677
,4,880,ALA,28.687,"OAKLAND, 29TH/FRUITVALE AVES ",13200,201000,197000,13400,203000,199000,202000,198000,37.775097,-122.23325
,4,580,ALA,40.647,"OAKLAND, 35TH AVE",11500,154000,144000,12400,172000,164000,163000,154000,37.792138,-122.203484
,4,185,ALA,10.375,"OAKLAND, 44TH AVE",2100,24800,24100,500,5100,4900,14950,14500,37.772017,-122.214037
,4,185,ALA,10.37,"OAKLAND, 44TH AVE/12TH ST",2100,24800,24100,2100,24800,24100,24800,24100,37.771983,-122.213965
,4,185,ALA,9.75,"OAKLAND, 55TH AVE",2000,24300,23500,1800,21200,20700,22750,22100,37.767128,-122.203686
,4,880,ALA,26.607,"OAKLAND, 66TH AVE",13200,200000,197000,13300,201000,197000,200500,197000,37.753883,-122.207911
,4,185,ALA,8.69,"OAKLAND, 73RD AVE",1900,22100,21600,2100,24800,24100,23450,22850,37.759216,-122.186958
,4,185,ALA,7.24,"OAKLAND, 98TH AVE",1900,22400,22000,1900,22100,21600,22250,21800,37.744435,-122.17047
,4,880,ALA,24.767,"OAKLAND, 98TH AVE ",15600,227000,187000,16400,237000,195000,232000,191000,37.732013,-122.188711
,4,61,ALA,16.07,"OAKLAND, AIRPORT/HEGENBERGER ROADS",2200,20700,20300,2300,21000,20500,20850,20400,37.726588,-122.201666
,4,580,ALA,42.184,"OAKLAND, BEAUMONT AVE ",12200,168000,161000,10900,150000,143000,159000,152000,37.800846,-122.228665
,4,13,ALA,9.066,"OAKLAND, BROADWAY TERRACE ",6900,71000,68000,7300,73000,71000,72000,69500,37.841603,-122.224617
,4,24,ALA,4.152,"OAKLAND, BROADWAY/PATTON ST ",9600,130000,127000,10400,143000,140000,136500,133500,37.847884,-122.244828
,4,24,ALA,5.887,"OAKLAND, CALDECOTT TUNNEL",10800,146000,142000,,,,146000,142000,37.855081,-122.218755
,4,24,ALA,5.887,"OAKLAND, CALDECOTT TUNNEL",,,,10800,146000,142000,146000,142000,37.855081,-122.218755
,4,580,ALA,41.143,"OAKLAND, COOLIDGE AVE ",12400,172000,164000,10800,150000,143000,161000,153500,37.796421,-122.210581
,4,77,ALA,0.365,"OAKLAND, EAST 12TH ST",1400,17400,17000,1000,12400,12100,14900,14550,37.772066,-122.2174
,4,77,ALA,0.452,"OAKLAND, EAST 14TH ST",1000,12400,12100,,,,12400,12100,37.77298,-122.216147
,4,580,ALA,38.309,"OAKLAND, EDWARDS AVE",11900,163000,153000,13100,179000,168000,171000,160500,37.776211,-122.164014
,4,880,ALA,29.8,"OAKLAND, EMBARCADERO CONNECTION",13000,197000,194000,13000,198000,194000,197500,194000,37.786855,-122.246326
,4,580,ALA,35.105,"OAKLAND, FOOTHILL BLVD ",10600,146000,138000,10600,146000,138000,146000,138000,37.738278,-122.141664
,4,980,ALA,0.702,"OAKLAND, FOURTEENTH ST",5900,84000,81000,6800,95000,92000,89500,86500,37.806874,-122.277815
,4,580,ALA,41.427,"OAKLAND, FRUITVALE AVE ",10800,150000,143000,12200,168000,161000,159000,152000,37.7978,-122.215403
,4,580,ALA,36.343,"OAKLAND, GOLF LINKS ROAD ",11400,157000,148000,11600,159000,150000,158000,149000,37.753779,-122.151385
