Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,ZIP,Plus4,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Owner Type Code,Open Date,EV Connector Types,Access Detail Code,Facility Type,EV Pricing,EV On-Site Renewable Source,Restricted Access
ELEC,Extra Space Storage,601 Cedar St,Cedar at Eastshore Highway (I-80),Berkeley,CA,94710,,510-525-9643,E,,Public,24 hours daily,,1,,,Non-Networked,,200-9,37.873525,-122.304802,8/10/2022,62833,2023-02-14 15:54:11 UTC,P,10/15/2017,J1772,,STORAGE,Free,,FALSE
ELEC,Graduate Berkeley - Tesla Destination,2600 Durant Ave,,Berkeley,CA,94704,,510-845-8981  877-798-3752,E,,Public,,,3,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,37.867942,-122.256305,10/6/2022,112859,2023-01-18 15:15:20 UTC,P,6/13/2018,J1772 TESLA,,HOTEL,Free,,
ELEC,"Claremont Club & Spa, A Fairmont Hotel - Tesla Destination",41 Tunnel Rd,,Berkeley,CA,94705,,510-843-3000  877-798-3752,E,,Public,,,1,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,37.857507,-122.24184,10/6/2022,112860,2023-01-18 15:15:20 UTC,P,6/9/2016,TESLA,,HOTEL,Free,,
ELEC,CITYOFBERKELEY CENT 3 RED 18,2025 Center St,,Berkeley,CA,94704,,888-758-4389,E,,Public,Mon 9:00pm - 12:00am; Tue 9:00pm - 12:00am; Wed 9:00pm - 12:00am; Thu 9:00pm - 12:00am; Fri 9:00pm - 12:00am; Sat 9:00pm - 12:00am; Sun 9:00pm - 12:00am,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,37.87059,-122.269893,2/25/2023,158708,2023-02-25 23:20:43 UTC,,6/12/2020,J1772,,,,,
ELEC,CITYOFBERKELEY CENT 1 RED 1,2023 Center St,,Berkeley,CA,94704,,888-758-4389,E,,Public,24 hours daily,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,37.87037,-122.269844,2/25/2023,158710,2023-02-25 23:20:42 UTC,,6/12/2020,J1772,,,,,
ELEC,CITYOFBERKELEY CENT 2 RED 15,2010 Addison St,,Berkeley,CA,94704,,888-758-4389,E,,Public,Mon 9:00pm - 12:00am; Tue 9:00pm - 12:00am; Wed 9:00pm - 12:00am; Thu 9:00pm - 12:00am; Fri 9:00pm - 12:00am; Sat 9:00pm - 12:00am; Sun 9:00pm - 12:00am,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,37.870823,-122.26991,2/25/2023,158711,2023-02-25 23:20:42 UTC,,6/12/2020,J1772,,,,,
ELEC,CITYOFBERKELEY OXFORD GARAGE 2,2165 Kittredge St,,Berkeley,CA,94704,,888-758-4389,E,,Public,24 hours daily,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,37.868772,-122.266758,2/25/2023,158959,2023-02-25 23:18:15 UTC,,6/12/2020,J1772,,,,,
ELEC,CITYOFBERKELEY T-C GARAGE #3,2450 Durant Ave,,Berkeley,CA,94704,,888-758-4389,E,,Public,24 hours daily,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,37.867365,-122.259492,2/25/2023,158961,2023-02-25 23:18:15 UTC,,6/12/2020,J1772,,,,,
ELEC,CITYOFBERKELEY CENT 2 RED 13,2015 Center St,,Berkeley,CA,94704,,888-758-4389,E,,Public,Mon 9:00pm - 12:00am; Tue 9:00pm - 12:00am; Wed 9:00pm - 12:00am; Thu 9:00pm - 12:00am; Fri 9:00pm - 12:00am; Sat 9:00pm - 12:00am; Sun 9:00pm - 12:00am,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,37.870544,-122.27004,2/25/2023,159848,2023-02-25 23:10:50 UTC,,6/12/2020,J1772,,,,,
ELEC,FOURTH STREET STATION 2,1911 4th street,,Berkeley,CA,94710,,888-758-4389,E,,Public,24 hours daily,,1,,,ChargePoint Network,http://www.chargepoint.com/,GPS,37.868212,-122.299413,2/25/2023,159965,2023-02-25 23:09:45 UTC,,6/12/2020,J1772,,,,,
ELEC,G1A P1B,2600 Shattuck Ave,,Berkeley,CA,94704,,888-758-4389,E,,Public,24 hours daily,,1,,,ChargePoint Network,http://www.chargepoint.com/,GPS,37.86158,-122.267518,2/25/2023,160147,2023-02-25 23:08:55 UTC,,6/12/2020,J1772,,,,,
ELEC,CITYOFBERKELEY CENT 2 GREEN 7,2033 Center St,,Berkeley,CA,94704,,888-758-4389,E,,Public,24 hours daily,,1,,,ChargePoint Network,http://www.chargepoint.com/,GPS,37.870543,-122.26985,2/25/2023,160791,2023-02-25 23:04:49 UTC,,6/12/2020,J1772,,,,,
ELEC,CITYOFBERKELEY WEST LIBRARY,1125 University Ave,,Berkeley,CA,94702,,888-758-4389,E,,Public,24 hours daily,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,37.869385,-122.290889,2/25/2023,160976,2023-02-25 23:03:06 UTC,,6/12/2020,J1772,,,,,
ELEC,CITYOFBERKELEY MARINA DOCK J-K,235 University Ave,,Berkeley,CA,94710,,888-758-4389,E,,Public,24 hours daily,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,37.86457,-122.312865,2/25/2023,161015,2023-02-25 23:02:56 UTC,,6/12/2020,J1772,,,,,
ELEC,CITYOFBERKELEY CENT 2 RED 14,2025 Center St,,Berkeley,CA,94704,,888-758-4389,E,,Public,Mon 9:00pm - 12:00am; Tue 9:00pm - 12:00am; Wed 9:00pm - 12:00am; Thu 9:00pm - 12:00am; Fri 9:00pm - 12:00am; Sat 9:00pm - 12:00am; Sun 9:00pm - 12:00am,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,37.870686,-122.27006,2/25/2023,175949,2023-02-25 23:20:42 UTC,,1/27/2021,J1772,,,,,
ELEC,CITYOFBERKELEY CENT 3 RED 19,2025 Center St,,Berkeley,CA,94704,,888-758-4389,E,,Public,Mon 9:00pm - 12:00am; Tue 9:00pm - 12:00am; Wed 9:00pm - 12:00am; Thu 9:00pm - 12:00am; Fri 9:00pm - 12:00am; Sat 9:00pm - 12:00am; Sun 9:00pm - 12:00am,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,37.870647,-122.26995,2/25/2023,175950,2023-02-25 23:20:42 UTC,,1/27/2021,J1772,,,,,
