ZIPCODE,MONTH,YEAR,CUSTOMERCLASS,COMBINED,TOTALCUSTOMERS,TOTALKWH,AVERAGEKWH
93101,4,2022,Elec- Agricultural,Y,0,0,
93101,5,2022,Elec- Agricultural,Y,0,0,
93101,6,2022,Elec- Agricultural,Y,0,0,
93110,4,2022,Elec- Agricultural,Y,0,0,
93110,5,2022,Elec- Agricultural,Y,0,0,
93110,6,2022,Elec- Agricultural,Y,0,0,
93117,4,2022,Elec- Agricultural,Y,0,0,
93117,5,2022,Elec- Agricultural,Y,0,0,
93117,6,2022,Elec- Agricultural,Y,0,0,
93202,4,2022,Elec- Agricultural,Y,0,0,
93202,5,2022,Elec- Agricultural,Y,0,0,
93202,6,2022,Elec- Agricultural,Y,0,0,
93203,4,2022,Elec- Agricultural,Y,160,11283080,70519
93203,5,2022,Elec- Agricultural,Y,159,15651743,98439
93203,6,2022,Elec- Agricultural,Y,160,17397062,108732
93204,4,2022,Elec- Agricultural,Y,0,0,
93204,5,2022,Elec- Agricultural,Y,0,0,
93204,6,2022,Elec- Agricultural,Y,0,0,
93206,4,2022,Elec- Agricultural,Y,0,0,
93206,5,2022,Elec- Agricultural,Y,0,0,
93206,6,2022,Elec- Agricultural,N,121,18489335,152804
93210,4,2022,Elec- Agricultural,Y,0,0,
93210,5,2022,Elec- Agricultural,Y,0,0,
93210,6,2022,Elec- Agricultural,Y,0,0,
93212,4,2022,Elec- Agricultural,Y,0,0,
93212,5,2022,Elec- Agricultural,Y,0,0,
93212,6,2022,Elec- Agricultural,Y,0,0,
93215,4,2022,Elec- Agricultural,Y,0,0,
93215,5,2022,Elec- Agricultural,Y,0,0,
93215,6,2022,Elec- Agricultural,Y,0,0,
93219,4,2022,Elec- Agricultural,Y,0,0,
93219,5,2022,Elec- Agricultural,Y,0,0,
93219,6,2022,Elec- Agricultural,Y,0,0,
93224,4,2022,Elec- Agricultural,Y,0,0,
93224,5,2022,Elec- Agricultural,Y,0,0,
93224,6,2022,Elec- Agricultural,Y,0,0,
93225,4,2022,Elec- Agricultural,Y,0,0,
93225,5,2022,Elec- Agricultural,Y,0,0,
93225,6,2022,Elec- Agricultural,Y,0,0,
93230,4,2022,Elec- Agricultural,Y,0,0,
93230,5,2022,Elec- Agricultural,Y,727,60860035,83714
93230,6,2022,Elec- Agricultural,Y,724,65817540,90908
93234,4,2022,Elec- Agricultural,Y,0,0,
93234,5,2022,Elec- Agricultural,Y,0,0,
93234,6,2022,Elec- Agricultural,Y,0,0,
93239,4,2022,Elec- Agricultural,Y,0,0,
93239,5,2022,Elec- Agricultural,Y,0,0,
93239,6,2022,Elec- Agricultural,Y,0,0,
93241,4,2022,Elec- Agricultural,Y,0,0,
93241,5,2022,Elec- Agricultural,Y,0,0,
93241,6,2022,Elec- Agricultural,Y,0,0,
93242,4,2022,Elec- Agricultural,Y,0,0,
93242,5,2022,Elec- Agricultural,N,223,4736551,21240
93242,6,2022,Elec- Agricultural,N,222,5434528,24480
93243,4,2022,Elec- Agricultural,Y,0,0,
93243,5,2022,Elec- Agricultural,Y,0,0,
93243,6,2022,Elec- Agricultural,Y,0,0,
93245,4,2022,Elec- Agricultural,Y,1356,68640520,50620
93245,5,2022,Elec- Agricultural,Y,584,27627918,47308
93245,6,2022,Elec- Agricultural,Y,619,36902038,59616
93249,4,2022,Elec- Agricultural,Y,0,0,
93249,5,2022,Elec- Agricultural,Y,0,0,
